1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;;;;;;;;;;;;8;8;;;p;;;8;8;;;p;;;8;8;;;p
;;;;;;;;;;;9;9;9;;9;p;;9;9;9;;9;p;;9;9;9;;9;p
;;;;;;;;;;;10;10;10;10;10;p;;10;10;10;10;10;p;;10;10;10;10;10;p
;;;;;;;;;;;11;11;11;11;11;p;;11;11;11;11;11;p;;11;11;11;11;11;p
;;;;;;;;;;x;x;x;x;x;12;p;x;x;x;x;x;12;p;x;x;x;x;x;12;p
;;;;;;;;;;x;x;x;x;x;13;p;x;x;x;x;x;13;p;x;x;x;x;x;13;p
;;;;;;;;;;x;x;x;x;x;14;p;x;x;x;x;x;14;p;x;x;x;x;x;14;p
;;;;;;;;;;x;x;x;x;x;p;p;x;x;x;x;x;p;p;x;x;x;x;x;15;p
;;;;;;;;;;x;x;x;x;x;p;p;x;x;x;x;x;p;p;x;x;x;x;x;16;p
;;;;;;;;;;x;x;x;x;x;p;p;x;x;x;x;x;p;p;x;x;x;x;x;17;p
;;;;;;;;;;x;x;x;x;x;p;p;x;x;x;x;x;p;p;x;x;x;x;x;18;p
;;;;;;;;;;19;;19;x;x;p;p;19;;19;x;x;p;p;19;;19;x;x;p;p
;;;;;;;;;;20;;20;x;x;p;p;20;;20;x;x;p;p;20;;20;x;x;p;p
;;;;;;;;;;21;;21;x;x;p;p;21;;21;x;x;p;p;21;;21;x;x;p;p